FORECAST_WEEK,STATE_NAME,FORECAST_CASES,FORECAST_DEATHS,FORECAST_IND
3/19/2022,SOUTH DAKOTA,241.313828,21.8644787,0
3/19/2022,TENNESSEE,1974.709152,194.3390798,0
3/19/2022,TEXAS,18273.74736,256.3391778,0
3/19/2022,UTAH,740.8622309,16.70322526,0
3/19/2022,VERMONT,898.8572651,3.006160501,0
3/19/2022,VIRGINIA,6467.094975,253.3025604,0
3/19/2022,WASHINGTON,7168.545427,147.801935,0
3/19/2022,WEST VIRGINIA,1545.091387,96.76334518,0
3/19/2022,WISCONSIN,2646.31324,246.6353333,0
3/19/2022,WYOMING,163.088595,20.02049728,0
3/26/2022,ALABAMA,1319.596354,171.8022419,0
3/26/2022,ARIZONA,4495.149656,330.991604,0
3/26/2022,ARKANSAS,2405.677407,131.3027277,0
3/26/2022,CALIFORNIA,23766.56441,570.6881809,0
3/26/2022,COLORADO,9636.896192,63.18065644,0
3/26/2022,CONNECTICUT,2312.012269,41.07493391,0
3/26/2022,DELAWARE,584.068308,3.92461344,0
3/26/2022,DISTRICT OF COLUMBIA,563.264668,3.952734512,0
3/26/2022,FLORIDA,16513.17416,728.7588072,0
3/26/2022,GEORGIA,3106.536,252.7193775,0
3/26/2022,HAWAII,724.2470968,5.007236322,0
3/26/2022,IDAHO,1582.268022,32.6732339,0
3/26/2022,ILLINOIS,8105.092833,109.485159,0
3/26/2022,INDIANA,1368.205326,59.84833008,0
3/26/2022,IOWA,719.6635483,53.03441423,0
3/26/2022,KANSAS,463.3598816,74.17744597,0
3/26/2022,KENTUCKY,8627.247353,279.0100442,0
3/26/2022,LOUISIANA,751.3108888,80.00156631,0
3/26/2022,MAINE,1146.608019,12.97559733,0
3/26/2022,MARYLAND,1956.897641,39.92953845,0
3/26/2022,MASSACHUSETTS,5731.343975,42.8797929,0
3/26/2022,MICHIGAN,5679.075722,153.0969485,0
3/26/2022,MINNESOTA,2711.145509,47.71677347,0
3/26/2022,MISSISSIPPI,685.9977281,61.04406041,0
3/26/2022,MISSOURI,3658.620367,177.9528786,0
3/26/2022,MONTANA,289.8302519,7.909369101,0
3/26/2022,NEBRASKA,362.6470802,0,0
3/26/2022,NEVADA,1129.778146,80.60497613,0
3/26/2022,NEW HAMPSHIRE,1251.603001,9.970634388,0
3/26/2022,NEW JERSEY,6639.174385,42.97185627,0
3/26/2022,NEW MEXICO,1014.907641,60.96756634,0
3/26/2022,NEW YORK,16169.63974,102.0488251,0
3/26/2022,NORTH CAROLINA,7362.063649,115.1445898,0
3/26/2022,NORTH DAKOTA,220.4182051,0,0
3/26/2022,OHIO,3660.190569,54.03250539,0
3/26/2022,OKLAHOMA,1805.163799,158.6422611,0
3/26/2022,OREGON,1533.94317,63.33691397,0
3/26/2022,PENNSYLVANIA,4192.80974,197.2159056,0
3/26/2022,RHODE ISLAND,1440.242243,6.996755811,0
3/26/2022,SOUTH CAROLINA,1357.18648,111.5796707,0
3/26/2022,SOUTH DAKOTA,109.3140099,4.972423744,0
3/26/2022,TENNESSEE,1581.260005,81.40475471,0
3/26/2022,TEXAS,36499.97562,357.8479059,0
3/26/2022,UTAH,539.3128512,69.72777108,0
3/26/2022,VERMONT,962.9728342,3.993911367,0
3/26/2022,VIRGINIA,5335.428079,142.9003502,0
3/26/2022,WASHINGTON,5927.700425,97.50263303,0
3/26/2022,WEST VIRGINIA,826.5243214,93.73915,0
3/26/2022,WISCONSIN,2493.184003,240.611467,0
3/26/2022,WYOMING,148.7187665,13.99265162,0
4/2/2022,ALABAMA,2956.752158,102.9161665,0
4/2/2022,ARIZONA,9970.724416,378.9672153,0
4/2/2022,ARKANSAS,563.3339746,41.95708151,0
4/2/2022,CALIFORNIA,18085.01677,413.4903512,0
4/2/2022,COLORADO,7340.971731,25.60119328,0
4/2/2022,CONNECTICUT,3076.934555,29.06344391,0
4/2/2022,DELAWARE,657.3829647,32.66910755,0
4/2/2022,DISTRICT OF COLUMBIA,557.3355662,1.976367256,0
4/2/2022,FLORIDA,0,420.8346636,0
4/2/2022,GEORGIA,14191.35858,269.5732761,0
4/2/2022,HAWAII,1090.727141,6.018419127,0
4/2/2022,IDAHO,646.1438193,8.860882671,0
4/2/2022,ILLINOIS,8395.948334,87.38282136,0
4/2/2022,INDIANA,1319.630611,987.5692545,0
4/2/2022,IOWA,484.1023077,42.92040787,0
4/2/2022,KANSAS,544.2968585,175.4092894,0
4/2/2022,KENTUCKY,5516.6896,235.8868453,0
4/2/2022,LOUISIANA,574.3054125,62.15949814,0
4/2/2022,MAINE,1410.970011,6.99568695,0
4/2/2022,MARYLAND,1855.577713,29.89929614,0
4/2/2022,MASSACHUSETTS,7475.45192,42.86561808,0
4/2/2022,MICHIGAN,5372.056809,134.0134885,0
4/2/2022,MINNESOTA,2800.644234,40.77400057,0
4/2/2022,MISSISSIPPI,590.7244803,47.18178686,0
4/2/2022,MISSOURI,2377.07167,108.6559655,0
4/2/2022,MONTANA,221.7165405,6.9631271,0
4/2/2022,NEBRASKA,881.7492396,1166.259463,0
4/2/2022,NEVADA,1138.464129,58.98215062,0
4/2/2022,NEW HAMPSHIRE,1126.43866,7.974312367,0
4/2/2022,NEW JERSEY,8420.402701,35.03106921,0
4/2/2022,NEW MEXICO,725.2462461,72.88248845,0
4/2/2022,NEW YORK,25632.26784,69.19758062,0
4/2/2022,NORTH CAROLINA,6145.295411,40.75217171,0
4/2/2022,NORTH DAKOTA,205.7450227,0,0
4/2/2022,OHIO,3095.620513,34.96402958,0
4/2/2022,OKLAHOMA,1800.729931,120.744356,0
4/2/2022,OREGON,1745.259631,110.6944355,0
4/2/2022,PENNSYLVANIA,4179.939429,105.0625788,0
4/2/2022,RHODE ISLAND,1530.146123,91.91981003,0
4/2/2022,SOUTH CAROLINA,1009.653963,96.7798862,0
4/2/2022,SOUTH DAKOTA,153.0430629,2.941219039,0
4/2/2022,TENNESSEE,1588.514697,144.7731173,0
