calendar_date,age_group,boosted_death,vaccinated_death,unvaccinated_death
11/5/2021,all_ages,27.8163521635773,45.7453265648676,293.243302525907
10/29/2021,65+,35.0717537731643,167.42629985631,1696.24821260473
9/24/2021,65+,76.2310582923266,199.417672093944,2383.75092691582
10/15/2021,all_ages,40.6952080043264,42.5099074730856,313.800749914209
1/21/2022,all_ages,129.49550360659,199.776121497028,705.963137355553
10/22/2021,all_ages,26.3188183675359,42.0910285759675,282.751537887004
1/7/2022,18-49,6.67359479921624,16.4344155789905,112.841555534832
10/1/2021,50-64,35.7625914123931,21.5948242854065,578.8775769906
2/18/2022,all_ages,28.7960050841602,36.0425569303587,149.65835404942
12/31/2021,18-49,3.83545209792315,12.7998563536385,94.4662088189127
2/25/2022,12-17,0,0,0
2/11/2022,12-17,0,0.84187117525378,3.84586583290268
